Link	Açıklama
3255744	قدم.. جورجيا تحقق تعادلا تاريخيا أمام تشيكيا في "يورو 2024"
3255745	UNRWA: "les pénuries d’approvisionnement et l’effondrement de l'ordre public à Gaza entravent l'acheminement de l’aide" 
3255746	Le PAM alerte sur les répercussions de la crise soudanaise sur les pays voisins
3255747	"الحوثي" تعلن استهداف سفينة وحاملة طائرات أمريكية 
3255748	إسرائيل.. عملية قتل مستوطن في قلقيلية نفذت على "خلفية قومية" 
3255749	بوريل يطالب بـ"تحقيق مستقل" في قصف مكتب الصليب الأحمر بغزة 
3255752	F1 İspanya Grand Prix'sinde "pole" pozisyonu Lando Norris'in
3255753	الأردن يدين القصف الإسرائيلي لمحيط "الصليب الأحمر" بغزة 
3255754	Dışişleri Bakanlığından vefat eden Hindistan'ın Ankara Büyükelçisi için taziye mesajı
3255755	Gazzeliler, İsrail'in yıktığı evlerinin enkazında kurdukları çadırlarda hayata tutunmaya çalışıyor
3255756	محمية غولجوك التركية.. وجهة خضراء للاسترخاء 
3255757	أوكرانيا: مقتل 3 أشخاص بهجوم روسي على "خاركيف"
3255758	Avusturya'da İsrail'in Gazze'ye saldırıları protesto edildi
3255759	ذوو أسرى إسرائيل بغزة: لا يمكن إبرام صفقة دون إسقاط حكومة نتنياهو 
3255760	تنس.. انسحاب التونسية أنس جابر من بطولة برلين المفتوحة
3255761	Czech Republic's Patrik Schick scores against Georgia at EURO 2024 to secure 1-1 draw
3255762	Euro 2024 : La Géorgie accroche la République tchèque
3255763	إصابة منزلين شمالي إسرائيل بصواريخ مضادة للدروع أطلقت من لبنان
3255764	Cumhurbaşkanı Yardımcısı Yılmaz: Amacımız istikrar içinde kalkınmamızı sürdürmek
3255766	Türkiye mourns death of Indian ambassador to Ankara
3255767	Ukrajina: Troje ubijenih i 19 ranjenih i ruskom napadu navodećim projektilom na Harkov
3255768	İngiltere'de Filistin destekçisi eylemciler, kentin ünlü kavşağı Oxford Circus'u trafiğe kapattı
3255771	فيينا.. وقفة احتجاجية تندد بالهجمات الإسرائيلية على غزة
3255772	Le Qatar et l'Espagne appellent à un arrêt immédiat de la guerre à Gaza 
3255773	تونس تعلن ارتفاع عدد وفيات حجاجها بالسعودية إلى 53
3255774	China launches advanced satellite to detect high-energy gamma rays in joint project with France
3255777	Yunanistan'da farklı noktalardaki orman yangınlarına müdahale edildi
3255778	Corriere della Sera : "L'Italie arrête un navire transportant des armes depuis la Chine vers l'est de la Libye"
3255781	İsrail ordusunun Lübnan'da bir araca düzenlediği hava saldırısında 1 kişi öldü
3255782	تونس وإيطاليا تبحثان سبل التصدي للهجرة غير النظامية
3255783	قدم.. تشيلسي يتعاقد مع الموهبة البرازيلي إستيفاو ويليان
3255784	إسرائيل.. عشرات آلاف يتظاهرون للمطالبة بإبرام صفقة تبادل أسرى 
3255786	Milli yüzücü Hüseyin Emre Sakçı, Avrupa şampiyonu oldu
3255788	Berlin'deki Filistin'e destek yürüyüşünde göstericiler ile polis arasında arbede yaşandı
3255791	EURO 2024: Portugal savladao Turkiye rezultatom 3:0
3255792	UN chief calls on global community to take urgent action on climate change
3255794	الدفاع المدني بغزة: 40 قتيلا في قصف إسرائيلي استهدف 4 أحياء سكنية 
3255795	سازمان ملل: بیش از 50 درصد جمعیت افغانستان به کمک‌های بشردوستانه نیاز دارند
3255797	بلجيكا: الخسائر بصفوف المدنيين في غزة "أمر غير مقبول" 
3255798	صافرات الإنذار تدوي في "المطلة" شمالي إسرائيل 
3255799	В Берлине произошли стычки во время демонстрации в поддержку Палестины 
3255800	Israeli army uses gunshot-wounded Palestinian as human shield in West Bank's Jenin streets
3255801	برلين.. صدامات بين الشرطة ومتظاهرين خلال مسيرة لدعم فلسطين
3255802	قدم.. الاتحاد الأردني يعلن رحيل المغربي عموتة عن تدريب المنتخب 
3255803	Hajj 2024 : Le bilan s'alourdit à 53 morts parmi les pèlerins tunisiens (MAE)
3255804	Malatya'da 4 büyüklüğünde deprem
3255808	ABD ordusunun 2 mensubu, Gazze politikası nedeniyle vicdani ret haklarını kullanmayı talep etti
3255812	Jemenski Husi tvrde da su SAD i Velika Britanija izveli nove zračne napade na Hudeydah
3255813	قدم.. البرتغال تبلغ ثمن نهائي كأس أمم أوروبا "يورو 2024"
3255818	Aydın'da depoda çıkan yangın 17 saat sonra kontrol altına alındı
3255820	فلسطين ترحب بإعلان كوبا التدخل بقضية "الإبادة الجماعية" ضد إسرائيل
3255824	Israeli hostages' families say deal with Palestinian factions impossible without Netanyahu's dismissal
3255826	Pakistan 'reinvigorates' national counter-terrorism campaign
3255827	Hezbollah hits 2 houses in northern Israel with anti-tank missiles, causing fires
3255828	مقتل طفلين وامرأة بقصف طائرة حربية إسرائيلية منزلا بمدينة غزة
3255830	İtalya'da Filistin'e destek yürüyüşleri düzenlendi
3255831	Jordan condemns Israeli attacks on Palestinian refugees near ICRC office in Gaza
3255833	الدفاع المدني بغزة: 50 بالمئة من مركباتنا في رفح توقفت عن العمل
3255838	ABD Donanmasının "USS Dwight D. Eisenhower" uçak gemisi görev bölgesinden ayrıldı
3255839	بسبب غزة.. طياران أمريكيان يطالبان بممارسة حقهما في الاستنكاف الضميري
3255840	مقتل ضابط احتياط إسرائيلي في معارك جنوبي غزة
3255841	İsrailliler esir takası anlaşması ve Netanyahu'nun istifası talepli gösterilerini bu hafta da sürdürdü
3255842	La Seleção de Cristiano Ronaldo s’impose face à la Türkiye 3-0
3255843	Gaza: "Les pertes civiles sont inacceptables", déclare la cheffe de la diplomatie belge Hadja Lahbib
3255844	Ukraine : une attaque russe fait au moins trois morts à Kharkiv 
3255845	إيطاليا.. مسيرات في روما وميلانو تضامنا مع فلسطين
3255846	Vienne: rassemblement de protestation contre les attaques israéliennes sur Gaza 
3255847	Des milliers d'Israéliens manifestent pour exiger un accord d'échange de prisonniers 
3255848	Big anti-Israel rallies in Europe as police, protesters clash in Berlin, with 11 people arrested
3255849	بە هۆی گەرما کاتژمێرەکانی دەوام لە عێراق کەم کرایەوە و پارێزگای زیقاریش پشووی ڕاگەیاند
3255850	Утренний брифинг агентства «Анадолу» на 23 июня
3255852	ناشطون سودانيون: مقتل 17 مدنيا في هجوم على قرية بولاية الجزيرة
3255853	Israeli bombings claim 43 lives in single day, with 2 children, woman killed in fresh airstrike on Gaza
3255854	حفتر ينفي اتهامه بدعم قوات "حميدتي" في حرب السودان
3255856	Gazze'deki Sivil Savunma Teşkilatı: Refah'taki araçlarımızın yüzde 50'si çalışmıyor 
3255864	Belçika, Romanya'yı mağlup etti
3255866	قدم.. مبابي يشارك في مباراة ودية استعدادا لمواجهة بولندا
3255867	Euro 2024: Les Diables rouges l’emportent face à la Roumanie, le groupe E complètement relancé
3255868	الرباط وواشنطن تطلقان "مجموعة أصدقاء" بشأن الذكاء الاصطناعي
3255869	EURO 2024'te görünüm
3255870	طرابزون التركية.. مظاهرة منددة بهجمات إسرائيل على غزة
3255871	"حزب الله" يتوعد إسرائيل بحرب "بلا سقف"
3255873	قدم.. بلجيكا تشعل صراع التأهل بالمجموعة الخامسة في "يورو 2024"
3255874	66 wildfires reported in Greece in last 24 hours
3255875	Portugal qualify for last 16 at EURO 2024
3255876	İsrail'in Gazze'de 2 evi daha hedef aldığı saldırıda çok sayıda kişi öldü ve yaralandı
3255878	Çin'in güneyinde şiddetli yağışın yol açtığı sellerde ölenlerin sayısı 47'ye çıktı
3255879	Israeli army reservist killed in southern Gaza: Military
3255880	D-100 kara yolunda zincirleme trafik kazasında 6 kişi yaralandı
3255881	Bartın'da 2 otomobil çarpıştı 3 kişi öldü, 2 kişi yaralandı
3255882	Palestine welcomes Cuba's announcement to intervene in genocide case before UN court
3255883	İsrail'in Bogota Büyükelçisi Kolombiya'yı terk etti
3255884	Ankara'da palet fabrikasında çıkan yangın kontrol altına alındı
3255885	Türkiye ve dünya gündemi
3255886	Thousands of Israelis protest Netanyahu government, demand prisoner swap with Palestinian factions
3255887	USS Eisenhower leaves Red Sea after obstructing Houthi attacks on commercial shipping: Pentagon
3255888	Bayram tatilindeki trafik kazalarında 68 kişi öldü, 9 bin 787 kişi yaralandı
3255889	US airmen request conscientious objector rights in challenging Washington’s Gaza policy
3255890	Aydın'da iki otomobilin çarpıştığı kazada 2'si çocuk 8 kişi yaralandı
3255891	Gaza war deprives 800,000 students of ‘right to education’: Media Office
3255892	الأجندة اليومية للنشرة العربية ـ الأحد 23 يونيو 2024
3255893	Morning Briefing: June 23, 2024
3255894	Li Şirnexê berfa li zozanan hat paqijkirin
3255895	New Caledonia pro-Independence leader charged after deadly riots: Report
3255898	عمود تشمبرليطاش.. شاهد صامت على 1700 عام من تاريخ إسطنبول (تقرير)
3255899	Li Xezeyê di du êrîşên artêşa Îsraîlê da 42 kes hatin kuştin
3255900	ЧЕ по футболу: обзор матчей 22 июня
3255902	Во израелски воздушни напади врз домови во градот Газа загинаа и повредени се деца и жени
3255903	Потери армии Израиля в Газе достигли 665 человек
3255904	İtalya'nın Hırvatistan'a karşı şansı tutmuyor
3255905	Pro-Palestine activists in London vow to keep protesting until 'genocide ends' in Gaza
3255906	EURO 2024'te B Grubu'nda Arnavutluk ile İspanya karşılaşacak
3255907	"سنتكوم" تنفي استهداف "الحوثي" حاملة طائرات أمريكية
3255909	Li Bartinê 2 wesayît li hev qelibîn: 3 mirî û 2 birîndar
3255910	Faits marquants de l'actualité internationale
3255911	BiH: U Hercegovini žuti meteoalarm zbog visokih dnevnih temperatura, u Bosni zbog grmljavine 
3255912	حوثی‌ها: 5 کشتی را در سواحل مدیترانه و بندر حیفا هدف قرار دادیم
3255913	Gaza : des morts et des blessés dans des frappes aériennes israéliennes sur des maisons
3255914	Filipinler, ihtilaflı sulardaki anlaşmazlıkları "barışçıl yollarla çözmeyi" istiyor
3255915	Stotine kombajna sinhronizirano žanje na nepreglednim poljima turske “riznice žitarica“
3255917	Илјадници Израелци протестираа против Владата на Нетанјаху, барајќи размена на заробеници со палестинските фракции
3255918	سیل در گواتمالا 10 قربانی گرفت
3255919	U izraelskim zračnim napadima u Gazi ima mrtvih i ranjenih, uglavnom žene i djeca
3255920	Edirne'de anız alanından ağaçlık bölgeye sıçrayan yangın söndürüldü
3255921	EU condemns shelling of ICRC office in Gaza, urges independent investigation
3255922	BE-ja dënon bombardimin e zyrës së Kryqit të Kuq në Gaza, kërkon hetim të pavarur
3255923	لە عێراق کوژرانی حەوت تیرۆریستی داعش ڕاگەیاندرا
3255926	آمریکا: ادعای حوثی‌ها درباره حمله به ناو هواپیمابر «یو‌اس‌اس دوایت آیزنهاور» صحت ندارد
3255927	Poplave u Gvatemali usmrtile najmanje deset osoba
3255928	حزبوڵڵای لوبنان بە "جەنگێکی بێ سنووردار" ھەڕەشە لە ئیسرائیل دەکات
3255931	سفیر اسرائیل در کلمبیا از این کشور خارج شد
3255933	"حزب الله" يعلن استهداف ثكنة إسرائيلية ومقتل وإصابة أفرادها
3255936	Izraelska policija privela troje ljudi tokom protesta u Tel Avivu
3255937	"الحوثي" تعلن استهداف 5 سفن بالاشتراك مع ميليشيا عراقية
3255938	Yollarda tatil dönüşü hareketliliği sürüyor
3255939	e-Ticaret sektöründe EURO 2024 hareketliliği
3255940	Yalova'da endemik bitkiler korunup çoğaltılarak geleceğe taşınıyor
3255941	Meslek liselilerin ürettiği makineler, ülke genelinde atıkları ekonomiye kazandırıyor
3255942	Evden eve nakliyede "yetkili şirket" uyarısı 
3255943	كولومبيا.. السفير الإسرائيلي يغادر البلاد
3255944	Gençlerin parladığı turnuva: EURO 2024
3255945	DEİK Dijital Teknolojiler İş Konseyi Başkanı Erkul, yapay zekaya geçiş sürecini değerlendirdi
3255946	Usljed klizišta u centralnoj Kini osam osoba se vodi kao nestalo 
3255947	Israeli airstrikes on Gaza homes kill, injure children, women
3255948	Di qezayên trafîkê yên betlaneya eydê da 68 kes mirin, 9 hezar û 787 kes jî birîndar bûn
3255949	TBMM'de bu hafta kripto varlıklara ilişkin kanun teklifinin görüşmelerine başlanacak
3255950	Elektronik Ürün Senedi Piyasası'nda aracı kurum dönemi başlıyor
3255951	Balyozê Îsraîlê yê li Bogotayê Kolombiya terikand
3255952	Antalya son yılların en hareketli bayram tatilini geçirdi
3255953	Özbek hasta, Türkiye'de yapılan karaciğer nakliyle hayata tutundu
3255954	Şanlıurfalı çoban ile kek ve lahmacun yiyen koyunu "Gülçin"in gülümseten dostluğu
3255955	"Gladyatörler kenti" Stratonikeia'da Geleceğe Miras Projesi ile çalışmalar hızlandı
3255956	Pembe kıyafetli arıcılar, organik bal üretiminde söz sahibi olmak istiyor
3255957	Iğdır'daki Üçkaya Gölü'nün turizme kazandırılması için çalışma başlatıldı
3255958	Nigerija: Od posljedica kolere u Lagosu preminulo 35 osoba
3255959	İsrail'in alıkoyduğu Filistinli doktorun ailesi, şüpheli ölümünün soruşturulmasını istiyor
3255960	Kavurucu sıcaktan bunalıp geldikleri Erciyes'te sobayla ısınıyorlar
3255961	Ataques aéreos de Israel contra viviendas en Gaza asesinan y hieren a niños y mujeres
3255962	EU osudile granatiranje ureda Crvenoj krsta u Gazi, pozivaju na nezavisnu istragu
3255963	غالانت: واشنطن حليف "محوري" وسأجري هناك اجتماعات حاسمة
3255964	تمایل فیلیپین برای حل مسالمت‌آمیز اختلافات با چین
3255965	Guerre israélienne à Gaza : au moins 800 000 étudiants privés de leur droit à l’éducation
3255966	İsrail, Gazze kent merkezi ile Refah'ta yüzlerce konutun bulunduğu alanı havaya uçurdu
3255967	عائلة طبيب غزي تطالب بالتحقيق في ظروف وفاته بسجون إسرائيل (تقرير)
3255968	Зеленский: Украине нужны современные системы ПВО
3255969	Ukraine : un missile russe fait deux blessés près de la capitale Kiev
3255970	Mijëra izraelitë protestojnë kundër qeverisë së Netanyahut, kërkojnë shkëmbim të të burgosurve
3255971	شمار قربانیان سیل در چین افزایش یافت
3255972	هيئة بريطانية: حاثة بحرية في "الحديدة" غرب اليمن وتضرر سفينة
3255973	8 missing after landslide hits houses in central China
3255974	Kocaeli'de short track sporcuları, yarış pistinde antrenman yapıyor
3255975	Izraelske snage ranile šest Palestinaca u blizini "zida razdvajanja" jer su navodno pokušali da pređu u Al-Quds
3255976	"Selimiye Farkındalık Koşusu" düzenlendi
3255977	Çukurova'da Akdeniz meyve sineğine karşı entegre mücadele yürütülüyor
3255978	Стотици комбајни синхронизирано жнеат на бескрајните полиња на турската „ризница на жито“
3255979	Власти Белгорода сообщили о 110 атаках ВСУ за сутки
3255980	Russian airstrikes kill 1, injure 13 in Ukraine's Kyiv region, Kharkiv city
3255981	Proslava "ljetnjeg solsticija" u Rusiji
3255982	الأونروا: إسرائيل استهدفت 69 بالمئة من مدارس إيواء النازحين بغزة 
3255983	غزة.. قتلى في غارات متفرقة وإسرائيل توسع توغلها شمالي رفح
3255984	La UE condena bombardeo de la oficina del CICR en Gaza que provocó decenas de muertes
3255985	6. İhracatın Şampiyonları Ödülleri 28 Haziran'da sahiplerini bulacak
3255986	SGK elektronik tebligat sayısı 1 milyonu aştı
3255987	Ağlayarak karateye başlayan Ömer Faruk, tatamiden şampiyonlukla çıktı
3255988	Akdeniz'de 4,2 büyüklüğünde deprem
3255991	Kars'ta futbolun emektarlarına davul zurnalı turnuva düzenlendi
3255992	Hakkari'de dağcılar Sümbül Dağı tırmanışını tamamladı
3255993	China successfully completes test of its 1st reusable launch vehicle
3255994	Trabzonspor'da Egemen Korkmaz teknik ekipten ayrıldığını duyurdu
3255997	Nemrut Krater Gölü, bayram tatilinde doğaseverlerin tercihi oldu
3255998	California's summer begins with wildfires, evacuations, scorched soil
3255999	Büyük İstanbul Otogarı'nda tatil dönüşü yoğunluk yaşanıyor
3256001	Polêsê Îsraîlê di xwepêşandana li Tel Avîvê da 3 xwepêşandêr binçav kirin
3256003	Trakya'da ormanlar yangınlara karşı 18 kuleden gözetleniyor
3256004	Хезболах соопшти дека извел напад врз израелски касарни во близина на границата со Либан
3256005	Elazığ'da 6 yılda 37 bini aşkın çocuk yüzme öğrendi
3256006	SAD: Kalifornijsko ljeto počelo šumskim požarima i evakuacijama
3256007	Tetë të zhdukur pasi rrëshqitja e dheut godet disa shtëpi në Kinën qendrore
3256009	Najmanje 15 Palestinaca ubijeno u izraelskim napadima na Gazu
3256010	Russia claims it downed over 30 Ukrainian drones over multiple regions
3256012	Hevaltiya şivanê ji Şanliurfayê û peza wî ya ku kek û lehmecûnê dixwe balê dikşîne
3256013	Enver Halilović: Deklaracija svesrpskog sabora je pravno-politička agresija na BiH
3256018	L'UE condamne le bombardement du bureau du CICR à Gaza et demande une enquête indépendante
3256019	حزب‌الله لبنان: مقر فرماندهی اسرائیل را هدف قرار دادیم
3256020	"İzmir bombası" damakta "lezzet patlaması" yaşatıyor
3256021	Strawberry moon: Lunarni događaj iznad zaljeva San Francisco u Kaliforniji
3256023	10 Palestinians killed in Israeli attacks on Gaza Strip
3256024	Borba za opstanak: Palestinki u izraelskim napadima ubijeno troje djece
3256025	Gaza denuncia que 800.000 estudiantes son privados del derecho a la educación por ofensiva de Israel
3256026	الصين.. ارتفاع عدد الوفيات بسبب السيول إلى 47
3256027	الضفة.. الجيش الإسرائيلي يهدم 5 منازل في أريحا 
3256028	Rusija tvrdi da je oborila više od 30 ukrajinskih dronova u više regiona
3256029	وقوع زلزله 4.2 ریشتری در دریای مدیترانه
3256030	Li Behra Spî bi mezinahiya 4,2yan erdhej
3256031	Şahinkaya Tepesi, Türkiye haritasını andıran kayalık alanıyla merak uyandırıyor
3256033	إعلام عبري: إسرائيل تلغي نحو 20 عملية اعتقال بالضفة لاكتظاظ السجون
3256034	Al menos 10 palestinos son asesinados en ataques de Israel contra la Franja de Gaza
3256036	الهلال الأحمر: إصابة فلسطيني برصاص إسرائيلي شمالي الضفة
3256038	Fatih'te park edilmek istenen otomobil denize düştü
3256039	Ahşap kaşık ustası hemşire, sanatını gelecek nesillere aktarmak için çaba gösteriyor
3256040	Porodica palestinskog ljekara traži istragu o njegovoj smrti u izraelskom zatvoru 
3256041	Fenerbahçe'de futbolculara yapılan testler tamamlandı
3256042	В Израиле не стихают протесты против Нетаньяху
3256043	Chine : huit personnes portées disparues après un glissement de terrain
3256044	Romanya, Ukrayna sınırı yakınlarındaki hava üssünü genişletiyor
3256045	Agencia de la ONU denuncia que Israel bombardeó el 69% de las escuelas con desplazados en Gaza
3256046	Israel targeted 69% of schools sheltering displaced people in Gaza: UN agency
3256047	BM: İsrail, Gazze'de zorla yerinden edilenlerin sığındığı okulların yüzde 69'unu vurdu
3256049	Jemenski Husi saopćili da su u saradnji s iračkom milicijom gađali pet brodova u Sredozemnom moru
3256051	حملات اسرائیل به مرکز غزه دست‌کم 15 کشته به جا گذاشت
3256052	UN: Izrael bombardovao 69 posto škola u kojima se nalaze skloništa za raseljene osobe u Gazi
3256053	گارد ساحلی ترکیه 17 مهاجر غیرقانونی را در ازمیر از خطر غرق شدن نجات داد
3256054	ارتفاع حصيلة معتقلي الضفة إلى 9345 منذ 7 أكتوبر
3256055	La Russie affirme avoir abattu plus de 30 drones ukrainiens dans plusieurs régions
3256056	أطباء بلاحدود: 260 قتيلا و1630 إصابة بالفاشر في السودان
3256057	UYAP 54 kurumla 175 farklı entegrasyonu sağladı
3256058	Depremlerde hasar almayan Titus Tüneli, Hatay'ın turizmine katkı sağlıyor
3256059	Trakya'da hububat hasadının başladığı son 1 ayda yaklaşık 3 bin dekarlık alan yandı
3256060	Kurban Bayramı tatilinde demir yollarını 7,5 milyon kişi kullandı
3256061	Li Hekariyê çiyagerên ku hilkişiyan Çiyayê Simbilê dest bi vegerê kirin
3256062	إسرائيل.. اعتراض مسيرة لـ"حزب الله" فوق مصنع أمني بالجليل الأسفل
3256063	Colombie: l’ambassadeur israélien quitte le pays
3256064	Usljed izraelskog napada u Gazi: Palestinska djevojčica ima opekotine po cijelom tijelu, bori se za život
3256065	Militares de EEUU solicitan derechos de objetor de conciencia por política de su país en Gaza
3256066	Muş'ta çiftçiler hayvanlarının kışlık yem ihtiyacını karşılamak için mesai yapıyor
3256068	سفينة "تي جي غي باندرما" التركية تزور ميناء بيروت
3256069	"Astoria Grande" kruvaziyeri 966 yolcusuyla Sinop'a geldi
3256070	Li Şirnexê otomobîl welgeriya, kesek mir û 4 kes jî birîndar bûn
3256071	Treće izdanje humanitarne trke Stojčevac 5K najbolje do sad, užitak za sve generacije
3256072	Israeli defense minister calls Washington ‘pivotal ally’
3256076	Руски ракетен напад во близина на главниот град на Украина, повредени 2 лица
3256077	Жителю Узбекистана трансплантировали печень в Турции
3256078	Izraelski ministar odbrane nazvao Washington "glavnim saveznikom"
3256079	Emmanuel Macron : "L’antisémitisme, le racisme et toutes les haines abîment chacun de nous"
3256080	İzmir'de yol ve kavşaklarda görevlendirilen sağlık ekipleri tatilde 20 kazaya müdahale etti
3256082	Eski AB Brexit Başmüzakerecisi'nden Frexit uyarısı
3256084	Cisjordanie : l’armée israélienne démolit 3 maisons à Jéricho  
3256085	Bošnjaci Rudog čuvaju sjećanje na narodne heroje
3256088	AŞTİ'de bayram tatili dönüşü hareketliliği
3256089	Li Otogara Stenbolê ya Mezin ji ber vegera betlaneyê hatin û çûyîn pir zêde ye
3256090	Rize'de "28. Çamlıhemşin Ayder Kültür, Sanat ve Doğa Festivali" sona erdi
3256091	رومانيا.. بدء توسيع قاعدة جوية قرب الحدود الأوكرانية
3256092	نتنياهو: تأخر الأسلحة الأمريكية سيتم حله "قريبا" 
3256093	Frexit upozorenje bivšeg glavnog pregovarača EU za Brexit
3256094	ABD'nin Suriye'deki üssüne kamikaze İHA ile saldırı girişimi
3256095	Türkiye'nin EURO 2024'te gruptan çıkma ihtimalleri ve muhtemel rakipleri
3256096	Tapu ve Kadastro Genel Müdürlüğü, 884 tarihi mührü literatüre kazandırdı
3256097	مقتل 4 فلسطينيين بقصف إسرائيلي لمقر للأونروا غربي غزة 
3256100	درخشش ملی‌پوشان ترکیه در رقابت‌های دوومیدانی تور قاره‌ای
3256101	هيئة فلسطينية: سجن النقب الإسرائيلي يهدد الأسرى حال لقاء محاميهم
3256102	Netanyahu, ABD’den İsrail’e sevk edilen silahların büyük kısmının ulaşmadığını savundu
3256103	УНРВА: Израел бомбардираше 69 отсто од училиштата во Газа во кои се сместени раселени Палестинци
3256104	İsrail, hapishanelerde yer kalmadığı için 20 Filistinli aktivistin gözaltı operasyonunu iptal etti
3256105	Israel cancels 20 arrest operations in occupied West Bank due to prison overcrowding: State media
3256106	ژمارەی کوژراوانی کۆمەڵکوژییەکانی ئیسرائیل لە غەززە بەرزبووەوە بۆ ٣٧ ھەزار و ٥٩٨ کەس
3256107	В аннексированном Крыму сообщили о ракетной атаке ВСУ
3256110	Saklıkent Kanyonu'nu bayram tatilinde 45 bin 535 kişi ziyaret etti
3256111	Netanyahu says US arms delay will be resolved ‘soon’
3256114	Gaza death toll nears 37,600 as Israel kills 47 more Palestinians
3256115	Američka vojna baza u Siriji bila meta napada dronom kamikazom
3256116	Senegal'de Filistin'e destek yürüyüşü düzenlendi
3256117	TEKNOFEST şampiyonlarından İTÜ Vefa Havacılık Takımı ABD'de düzenlenen roket yarışmasında şampiyon oldu
3256121	U izraelskim napadima u Pojasu Gaze od 7. oktobra ubijeno najmanje 37.598 Palestinaca
3256123	"حزب الله" يعلن مقتل جنود إسرائيليين بهجوم جوي على موقع عسكري 
3256124	هجوم بمسيرة انتحارية على قاعدة أمريكية بسوريا
3256125	France : Yaël Braun-Pivet s’oppose à toute "compromission" avec LFI et le RN
3256126	İsrail askerleri, Batı Şeria'da yaralı Filistinliyi askeri araca bağlayıp "canlı kalkan" olarak kullandı
3256127	İsrail'in Gazze'de UNRWA'ya bağlı eğitim kurumunu hedef aldığı saldırıda 4 kişi öldü
3256128	Предупредување за Фрегзит од поранешниот главен преговарач на ЕУ за Брегзит
3256129	Gola Krater a Nemrûdê di tetîla eydê da ji hêla siruşthezan hat ziyaretkirin
3256130	Rritet në 37.598 numri i palestinezëve të vrarë nga sulmet izraelite në Gaza
3256131	Bakan Uraloğlu, Antalya Havalimanı'nda uçuş ve yolcu sayısı rekoru kırıldığını bildirdi
3256132	ارتش اسرائیل سه خانه دیگر فلسطینیان را در کرانه باختری ویران کرد
3256133	"صحة غزة": ارتفاع حصيلة الشهداء إلى 37 ألفا و598 منذ 7 أكتوبر 
3256136	U izraelskom napadu na obrazovnu ustanovu UNRWA-e u Gazi ubijene su četiri osobe
3256138	Près de 37 600 morts à Gaza depuis le début de la guerre israélienne
3256139	Milli tenisçi Berfu Cengiz, İsveç'teki turnuvada şampiyon oldu
3256140	Li Mûşê cotkar ji heywanên xwe ra ji bo zivistanê ka û gîha berhev dikin
3256141	شمار قربانیان حملات 261 روزه اسرائیل به غزه به 37 هزار و 598 نفر رسید 
3256144	Izrael je digao u zrak područje sa stotinama stambenih jedinica u Gazi i Rafahu
3256145	حمله پهپادی به پایگاه آمریکا در سوریه 
3256146	Milli Eğitim Bakanı Tekin: Yüzde 30'a yakın devamsızlık oranlarında azalma ortaya çıktı
3256147	Rusia pretendon se ka rrëzuar mbi 30 dronë ukrainas mbi rajone të shumta
3256148	Во израелските напади врз Газа загинаа уште 47 Палестинци, билансот порасна на 37.598
3256149	Zbog nevremena: Općina Doboj - Istok proglasila stanje prirodne nesreće
3256150	Russia says 3 killed, over 120 injured in Sevastopol due to Ukrainian missile attack
3256151	İstanbullular tatilin son gününde ormanlar ile sahilleri tercih etti
3256152	سازمان ملل: اسرائیل 69 درصد از مدارس محل اسکان آوارگان در غزه را هدف قرار داده است
3256153	Israel arrests 20 more Palestinians in West Bank raids
3256154	4 Palestinians killed in Israeli strike on UN training center in Gaza
3256155	Filistin'in Salfeet ile Muş'un Korkut belediyeleri "kardeş" oldu
3256157	Američka savezna država Ohio: Deset ljudi ranjeno u pucnjavi u Columbusu
3256159	Число жертв агрессии Израиля в Газе приблизилось к 37,6 тыс.
3256160	Izraelske snage uhapsile još 20 Palestinaca u racijama na Zapadnoj obali
3256161	السنغال.. خروج مسيرة تضامنية مع فلسطين
3256162	Şehit Piyade Astsubay Çavuş Mehmet Ali Horoz'un su kuyusu vasiyeti yerine getirildi
3256163	محكمة مغربية تسمح لتلميذة دخول مدرسة للبعثة الفرنسية بحجابها 
3256164	تركيا.. مطار أنطاليا يسجل رقما جديدا بعدد المسافرين
3256165	Kore Uluslararası Bale Yarışması'ndan Türk dansçı Tahiroğlu'na ikincilik ödülü
3256168	İngiltere'den tedavi için Trabzon'a gelen hastanın akciğerindeki kitle başarıyla alındı
3256171	Polonya, FIVB Kadınlar Milletler Ligi'nde 3'üncü oldu
3256172	ارتش اسرائیل صدها خانه را در مرکز غزه و رفح منفجر کرد
3256173	Kuş meraklıları hafta sonları Sakarya'da kurulan pazarda buluşuyor
3256174	Klasik otomobil tutkunları Afyonkarahisar'da buluştu
3256175	Gaziantep, Şanlıurfa, Kahramanmaraş ve Kilis'te sıcak hava etkisini sürdürüyor
3256176	Gazan family seeks answers after doctor dies in Israeli custody
3256177	إسرائيل.. دعوات للإضراب اعتبارا من 7 يوليو حتى "حل الكنيست"
3256178	Suicide drone attack targets US base in western Syria
3256179	الصحة العالمية: الهجوم على مستشفى الولادة الوحيد بالفاشر "صادم" 
3256180	Gaza : quatre Palestiniens tués dans une frappe israélienne contre un centre de formation de l'ONU
3256181	Bingöl'de birbirine dolanan iki yılanın "dansı" görüntülendi
3256183	برفو جنگیز ملی‌پوش ترکیه قهرمان مسابقات تنیس زنان در سوئد شد
3256184	С 7 октября на Западном берегу задержаны свыше 9,34 тыс. палестинцев
3256185	Di êrîşên artêşa Îsraîlê yên dijî Xezeyê da hejmara kuştiyan derket 37 hezar û 598an
